accuracy,precision,recall,tuning_type,layer_tuning,model_architecture
0.7388535031847133,0.6139029391660971,0.6451736691462882,bayesian,_layertuning,cnn
0.8662420382165605,0.7569940476190475,0.7792203898050973,bayesian,_layertuning,mlp
0.8343949044585988,0.7223271173271173,0.7341213309429202,bayesian,none,cnn
0.8598726114649682,0.7721079968037372,0.7984045477261369,bayesian,none,mlp
0.7707006369426752,0.7210533910533911,0.6786721062545651,random,_layertuning,cnn
0.8726114649681529,0.7605527771162446,0.7748963018490754,random,_layertuning,mlp
0.8152866242038217,0.6978959459771474,0.6994677661169415,random,none,cnn
0.8407643312101911,0.7423746286393345,0.765865362773159,random,none,mlp
