,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
MLP_Basic,0.94,0.927,0.927,0.927,0.913,0.895,0.903,0.899
MLP_Deep,0.957,0.951,0.937,0.944,0.886,0.9,0.872,0.886
MLP_Dropout,0.94,0.928,0.933,0.93,0.913,0.908,0.908,0.908
MLP_Attention,0.929,0.923,0.922,0.923,0.878,0.881,0.87,0.875
CNN_Basic,0.94,0.927,0.924,0.925,0.89,0.881,0.868,0.875
CNN_Attention,0.924,0.92,0.909,0.914,0.89,0.878,0.884,0.881
CNN_2D,0.935,0.924,0.927,0.925,0.894,0.872,0.874,0.873
CNN_3_block,0.929,0.927,0.914,0.92,0.901,0.884,0.887,0.886
