num_blocks,num_layers_per_block,filters_b1_l1,kernel_size_b1_l1,pool_size_b1,dense_units,dropout,lr,filters_b1_l2,kernel_size_b1_l2,filters_b1_l3,kernel_size_b1_l3,filters_b2_l1,kernel_size_b2_l1,filters_b2_l2,kernel_size_b2_l2,filters_b2_l3,kernel_size_b2_l3,pool_size_b2,filters_b3_l1,kernel_size_b3_l1,filters_b3_l2,kernel_size_b3_l2,filters_b3_l3,kernel_size_b3_l3,pool_size_b3,cv_score,cv_std,cv_prec,cv_recall
1,3,48,3,2,320,0.5,0.0004491925147710255,96,5,96,5,64,5,112,3,128,5,2,16,5,16,5,48,5,2,0.9185714244842529,0.014708046234412886,0.9145734646928279,0.9109172912906928
1,2,80,3,3,64,0.4,0.0002660250014962386,128,3,80,3,128,5,16,3,112,3,3,16,3,48,3,16,3,2,0.9128571391105652,0.012289029127290073,0.9159019805869786,0.9059726885078548
3,1,112,5,2,64,0.2,0.0020056107134033925,48,5,128,5,96,5,128,3,96,3,2,48,3,48,3,128,5,2,0.9128571391105652,0.02407470371416323,0.9142086060654172,0.9040020676254692
1,1,112,5,2,192,0.1,0.0021188811738660895,128,5,48,5,128,5,16,3,16,3,3,128,3,128,5,16,5,2,0.9128571391105652,0.01989769678078147,0.9147195548173876,0.9048168723859261
1,1,112,5,3,512,0.4,0.0006633330956982438,112,5,112,5,16,3,80,5,32,3,2,112,5,80,3,64,3,3,0.9057142853736877,0.013850506290265838,0.9033855093262282,0.8950061094773372
1,3,80,3,2,448,0.4,0.003982162357170975,32,3,32,3,80,3,64,3,64,3,2,80,5,64,5,80,5,3,0.9042857050895691,0.02285715267062691,0.905346984430744,0.8979136496495832
2,3,32,3,2,512,0.30000000000000004,0.0006347126150988066,80,5,128,3,48,3,112,3,112,3,3,16,5,128,5,128,5,3,0.9028571367263794,0.020503859793169453,0.9016507764120834,0.8971300242099474
1,2,80,3,2,128,0.4,0.0005074581824066543,16,5,80,5,48,3,16,3,96,5,2,16,3,48,3,64,5,2,0.9014285683631897,0.011428573727613555,0.9058600962280867,0.8961550842593043
1,1,48,5,3,384,0.6,0.002613590177061218,80,5,96,3,80,5,64,3,80,3,2,32,3,112,3,32,5,3,0.8985714435577392,0.011428573727613557,0.9012429818203813,0.8896929501302904
1,1,96,5,3,256,0.1,0.0010242211263663452,80,3,16,3,16,5,128,3,128,3,2,16,5,16,3,16,5,2,0.8985714197158814,0.005345232484672943,0.8984445684085138,0.8882160381533784
2,2,128,5,3,512,0.2,0.0005007779298026367,96,3,64,3,64,3,128,3,64,5,3,112,3,48,3,32,3,2,0.8971428513526917,0.02099562349304816,0.8999562632107725,0.8887330880968989
1,3,80,3,2,256,0.4,0.00025367248968897137,16,3,48,3,16,3,112,5,96,3,2,16,5,128,5,32,3,2,0.8971428513526917,0.011605761854591192,0.8967395264171074,0.889325689655613
1,3,16,5,3,64,0.2,0.0012885384043538237,32,5,80,3,128,5,48,3,32,3,3,64,3,48,5,112,3,2,0.8971428513526917,0.02099562349304816,0.903965700771462,0.8908105676647876
2,1,32,3,3,448,0.4,0.001977514646569497,128,3,64,5,112,3,16,5,112,3,3,16,3,64,3,48,3,3,0.8971428513526917,0.019483115985745748,0.9000738179986062,0.8939175717717918
2,3,32,5,3,320,0.4,0.002970900204700538,32,3,80,5,80,5,32,5,48,5,3,64,5,16,5,112,3,3,0.895714282989502,0.022406263349103398,0.9012096220511217,0.8877102965945676
1,1,16,5,3,320,0.30000000000000004,0.006521891770661104,96,3,64,5,96,3,32,3,64,3,2,16,5,32,3,16,5,2,0.895714282989502,0.016659850319372668,0.8987172803752086,0.8881585044679674
1,1,96,5,3,448,0.4,0.0002060759138844583,80,3,112,5,64,5,96,5,48,5,3,64,3,128,3,96,5,3,0.8942857265472413,0.017142848173779566,0.8931896952160177,0.8864080975858469
3,1,96,3,2,64,0.4,0.0017055878173943449,64,5,16,5,16,5,112,3,48,5,3,80,5,48,3,48,3,2,0.8942857146263122,0.01829462376317718,0.8934459735348483,0.8873523866727192
1,1,80,5,3,256,0.30000000000000004,0.006786781549397143,96,5,64,5,80,3,64,3,16,5,3,96,5,96,3,80,5,2,0.8942857146263122,0.01228902912729007,0.8955890161348501,0.8862174811548214
1,1,96,3,2,256,0.1,0.0005371645492178959,32,3,112,5,48,3,64,5,48,3,3,32,5,80,5,16,3,3,0.8928571343421936,0.0078245911745723,0.8931965245796516,0.8845083391317408
3,2,96,5,2,448,0.2,0.00020558798447894964,48,5,128,3,32,3,48,3,16,5,3,112,5,128,5,48,5,2,0.8928571343421936,0.0174963518293881,0.8968313866343346,0.8858667991570804
3,1,128,5,3,448,0.2,0.007369508486900736,32,5,112,3,32,3,32,3,64,3,3,64,5,64,3,16,5,3,0.8914285778999329,0.013093066130356806,0.8904235126198042,0.8862565658268984
2,1,64,3,3,192,0.30000000000000004,0.0008083824626011058,64,5,80,5,128,3,64,5,128,5,2,128,5,16,3,96,3,2,0.8914285659790039,0.012289044370869513,0.8900247719032885,0.8854949747609595
3,1,80,5,2,256,0.4,0.0005655103545494483,80,5,128,3,48,5,16,5,128,5,2,32,5,96,5,32,3,3,0.8857142925262451,0.0174963518293881,0.88430594507794,0.8766537700719287
1,1,16,3,2,320,0.4,0.0013688978213179357,112,3,64,3,112,5,112,5,16,5,2,112,3,80,5,128,5,3,0.8842857241630554,0.020898190168208035,0.8833331962797975,0.8731408747546855
3,1,64,3,3,320,0.5,0.0002207133187611333,48,3,32,3,112,3,64,3,96,3,2,128,3,128,3,96,5,2,0.8842857122421265,0.01989769678078147,0.8893082694343093,0.8738701566265504
3,1,128,3,3,128,0.1,0.0007479781936524693,80,5,16,5,16,5,128,5,64,3,3,16,3,16,5,48,5,3,0.8842857122421265,0.024494885886809304,0.8873277320800674,0.8738009691360077
1,2,64,3,3,320,0.6,0.0001343976277759143,32,3,64,5,64,3,128,5,48,3,2,48,5,32,5,128,3,3,0.8742857217788697,0.013997077326821854,0.8769365683762104,0.8613906708523077
1,3,96,3,2,448,0.30000000000000004,0.007127087683731422,128,5,16,3,128,5,64,5,112,3,2,48,3,32,3,80,3,2,0.8642857074737549,0.025152605866053893,0.8713024290078536,0.8471503649802884
3,3,48,3,2,384,0.5,0.006145102594094117,16,3,16,3,16,3,16,3,16,3,2,16,3,16,3,16,3,2,0.8599999904632568,0.03795809113613395,0.8618938359542074,0.8395474238038176
