epoch,loss,accuracy,val_loss,val_accuracy
1,2.179314374923706,0.19828815758228302,2.0173559188842773,0.3199999928474426
2,1.8951661586761475,0.29814550280570984,1.689804196357727,0.33714285492897034
3,1.478696584701538,0.4436519145965576,1.2848373651504517,0.48571428656578064
4,1.1619203090667725,0.5249643325805664,1.0092222690582275,0.5771428346633911
5,1.0486937761306763,0.5848787426948547,0.8806478381156921,0.6228571534156799
6,0.9204002022743225,0.6390870213508606,0.788458526134491,0.6628571152687073
7,0.8064450025558472,0.703281044960022,0.6419644355773926,0.7257142663002014
8,0.6903004050254822,0.7203994393348694,0.6271910071372986,0.7828571200370789
9,0.637308657169342,0.7674750089645386,0.5429795384407043,0.8057143092155457
10,0.5397028923034668,0.8088445067405701,0.41939347982406616,0.8399999737739563
11,0.4983122646808624,0.8288159966468811,0.42943233251571655,0.8571428656578064
12,0.4613661766052246,0.8316690325737,0.44069862365722656,0.8285714387893677
13,0.5052402019500732,0.8102710247039795,0.35939329862594604,0.8857142925262451
14,0.4139035642147064,0.8473609089851379,0.3116306960582733,0.9142857193946838
15,0.41888427734375,0.8587731719017029,0.4815383553504944,0.8399999737739563
16,0.4086286723613739,0.8587731719017029,0.4066492021083832,0.845714271068573
17,0.3781476616859436,0.8616262674331665,0.34956201910972595,0.8799999952316284
18,0.32635992765426636,0.8887304067611694,0.42769601941108704,0.8171428442001343
19,0.3268612027168274,0.8744650483131409,0.3484554588794708,0.8742856979370117
20,0.2821230888366699,0.9072753190994263,0.3525504469871521,0.8857142925262451
21,0.2803022563457489,0.8987160921096802,0.4692052900791168,0.8171428442001343
22,0.3627278506755829,0.8644793033599854,0.3627108037471771,0.8571428656578064
23,0.2802637219429016,0.9186875820159912,0.34352120757102966,0.8799999952316284
24,0.41017234325408936,0.8701854348182678,0.3170386254787445,0.8742856979370117
