fold,accuracy,loss,f1_score,precision,recall
1,0.8297872543334961,0.40676596760749817,0.7923076923076923,0.8790476190476191,0.7857142857142857
2,0.8510638475418091,0.5353454351425171,0.8268797868797868,0.8833333333333334,0.8130952380952381
3,0.8297872543334961,0.4128316640853882,0.7324952824952825,0.7588095238095238,0.7416666666666666
4,0.782608687877655,0.5278834700584412,0.767069597069597,0.7925,0.7657142857142857
5,0.8478260636329651,0.48001277446746826,0.8323321123321124,0.8579761904761904,0.825
