class,train,val,test
class_0,36,7,11
class_1,27,10,13
class_2,32,10,9
class_3,29,9,7
class_4,19,7,6
class_5,9,3,7
class_6,17,8,8
class_7,15,7,4
class_8,20,8,7
class_9,29,9,6
