epoch,loss,accuracy,val_loss,val_accuracy
1,2.102252960205078,0.24108415842056274,1.7617007493972778,0.4114285707473755
2,1.5713555812835693,0.4322396516799927,1.2139105796813965,0.6171428561210632
3,1.1447359323501587,0.5677603483200073,0.9127321243286133,0.6514285802841187
4,0.9029406309127808,0.651925802230835,0.7121099829673767,0.7142857313156128
5,0.7625974416732788,0.7061340808868408,0.6253798604011536,0.8114285469055176
6,0.6763952374458313,0.7503566145896912,0.5341556668281555,0.8057143092155457
7,0.5797526836395264,0.7902995944023132,0.46933332085609436,0.845714271068573
8,0.5433806777000427,0.804564893245697,0.44208046793937683,0.845714271068573
9,0.5110076069831848,0.8102710247039795,0.47825026512145996,0.8342857360839844
10,0.47403424978256226,0.8074179887771606,0.37520986795425415,0.8742856979370117
11,0.4752761423587799,0.8131241202354431,0.34877732396125793,0.8857142925262451
12,0.49216485023498535,0.8074179887771606,0.3645636737346649,0.8742856979370117
13,0.4689496159553528,0.8245363831520081,0.3689727783203125,0.8628571629524231
14,0.42532506585121155,0.835948646068573,0.36592498421669006,0.868571400642395
15,0.3820221424102783,0.8573466539382935,0.32327699661254883,0.9085714221000671
16,0.4235670864582062,0.840228259563446,0.33567696809768677,0.8914285898208618
17,0.38926321268081665,0.8430812954902649,0.30811768770217896,0.8971428275108337
18,0.3467932939529419,0.8687589168548584,0.3132559061050415,0.8799999952316284
19,0.3769277334213257,0.8573466539382935,0.321927934885025,0.8914285898208618
20,0.34267839789390564,0.8616262674331665,0.32453906536102295,0.8971428275108337
21,0.3022196590900421,0.8844507932662964,0.2749723494052887,0.9142857193946838
22,0.3209199011325836,0.8815976977348328,0.26932066679000854,0.9028571248054504
23,0.32362422347068787,0.8844507932662964,0.2878876328468323,0.8914285898208618
24,0.2886551320552826,0.8873038291931152,0.261585533618927,0.9314285516738892
25,0.27345409989356995,0.9001426696777344,0.2709810435771942,0.9200000166893005
26,0.25685107707977295,0.9087018370628357,0.2686580419540405,0.9142857193946838
27,0.24786940217018127,0.9001426696777344,0.2499740570783615,0.9314285516738892
28,0.2396489977836609,0.9115549325942993,0.2517935335636139,0.9200000166893005
29,0.2203575074672699,0.9129814505577087,0.26535385847091675,0.9314285516738892
30,0.2469998300075531,0.9101284146308899,0.2603417634963989,0.9200000166893005
31,0.218230739235878,0.9129814505577087,0.261131227016449,0.9085714221000671
32,0.2236766368150711,0.9172610640525818,0.2742546796798706,0.9200000166893005
33,0.1974601298570633,0.9258202314376831,0.26960334181785583,0.9142857193946838
34,0.19616298377513885,0.9201140999794006,0.2662544548511505,0.9142857193946838
35,0.19547784328460693,0.9215406775474548,0.2753416895866394,0.9142857193946838
36,0.18422441184520721,0.9286733269691467,0.2619176506996155,0.9314285516738892
37,0.17445406317710876,0.9400855898857117,0.27218833565711975,0.9200000166893005
