class_id,class_name,precision_model1,recall_model1,f1_score_model1,support_model1,true_positives_model1,false_positives_model1,false_negatives_model1,true_negatives_model1,accuracy_model1,precision_model2,recall_model2,f1_score_model2,support_model2,true_positives_model2,false_positives_model2,false_negatives_model2,true_negatives_model2,accuracy_model2,accuracy_improvement,accuracy_improvement_pct,precision_improvement,precision_improvement_pct,recall_improvement,recall_improvement_pct,f1_score_improvement,f1_score_improvement_pct
0,P1,1.0,0.6206896551724138,0.7659574468085106,29,18,0,11,128,0.6206896551724138,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,0.9655172413793104,0.3448275862068966,55.55555555555556,-0.1515151515151515,-15.151515151515149,0.3448275862068966,55.55555555555556,0.13726835964310213,17.921146953405
1,P2,0.9310344827586208,0.9310344827586208,0.9310344827586208,29,27,2,2,126,0.9310344827586208,0.7741935483870968,0.8275862068965517,0.8,29,24,7,5,121,0.8275862068965517,-0.10344827586206906,-11.11111111111112,-0.15684093437152402,-16.845878136200724,-0.10344827586206906,-11.11111111111112,-0.13103448275862073,-14.074074074074078
2,P3,0.8518518518518519,1.0,0.92,23,23,4,0,130,1.0,1.0,0.6521739130434783,0.7894736842105263,23,15,0,8,134,0.6521739130434783,-0.34782608695652173,-34.78260869565217,0.14814814814814814,17.391304347826086,-0.34782608695652173,-34.78260869565217,-0.1305263157894737,-14.187643020594967
3,P4,0.1111111111111111,0.0769230769230769,0.0909090909090909,13,1,8,12,136,0.0769230769230769,0.7857142857142857,0.8461538461538461,0.8148148148148148,13,11,3,2,141,0.8461538461538461,0.7692307692307693,1000.0000000000003,0.6746031746031746,607.1428571428572,0.7692307692307693,1000.0000000000003,0.7239057239057238,796.2962962962963
4,P5,0.0,0.0,0.0,5,0,10,5,142,0.0,0.0,0.0,0.0,5,0,2,5,150,0.0,0.0,,0.0,,0.0,,0.0,
5,P6,1.0,0.2,0.3333333333333333,5,1,0,4,152,0.2,0.2666666666666666,0.8,0.4,5,4,11,1,141,0.8,0.6000000000000001,300.00000000000006,-0.7333333333333334,-73.33333333333334,0.6000000000000001,300.00000000000006,0.06666666666666671,20.00000000000001
6,P7,0.4,1.0,0.5714285714285714,8,8,12,0,137,1.0,1.0,0.625,0.7692307692307693,8,5,0,3,149,0.625,-0.375,-37.5,0.6,149.99999999999997,-0.375,-37.5,0.19780219780219788,34.615384615384635
7,P8,0.6153846153846154,0.7272727272727273,0.6666666666666666,11,8,5,3,141,0.7272727272727273,1.0,1.0,1.0,11,11,0,0,146,1.0,0.2727272727272727,37.49999999999999,0.3846153846153846,62.499999999999986,0.2727272727272727,37.49999999999999,0.33333333333333337,50.000000000000014
8,P9,0.5454545454545454,0.8,0.6486486486486487,15,12,10,3,132,0.8,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,11,1,4,141,0.7333333333333333,-0.06666666666666676,-8.333333333333345,0.3712121212121212,68.05555555555556,-0.06666666666666676,-8.333333333333345,0.16616616616616608,25.61728395061727
9,P10,1.0,0.4210526315789473,0.5925925925925926,19,8,0,11,138,0.4210526315789473,1.0,1.0,1.0,19,19,0,0,138,1.0,0.5789473684210527,137.50000000000003,0.0,0.0,0.5789473684210527,137.50000000000003,0.40740740740740744,68.75000000000001
