metric,Baseline Model_macro,Model After Dataset Refinement_macro,improvement,improvement_pct
accuracy,0.5776972573705785,0.7449764540806519,0.1672791967100734,28.956204062912477
precision,0.6454836606560745,0.7591726015919564,0.11368894093588189,17.612985094049876
recall,0.5776972573705785,0.7449764540806519,0.1672791967100734,28.956204062912477
f1_score,0.5520570833146035,0.7291559889522538,0.1770989056376503,32.079817647539556
