,val_acc,val_prec,val_rec,test_acc,test_prec,test_rec
MLP_Basic,0.91,0.908,0.9,0.6,0.524,0.489
MLP_Deep,0.96,0.958,0.955,0.412,0.478,0.542
MLP_Dropout,0.896,0.894,0.883,0.707,0.698,0.609
MLP_Attention,0.927,0.922,0.919,0.638,0.499,0.511
CNN_Basic,0.949,0.946,0.943,0.62,0.542,0.532
CNN_Attention,0.935,0.933,0.928,0.655,0.667,0.582
CNN_2D,0.93,0.926,0.925,0.606,0.492,0.54
