metric,Chosen Model_macro,Tuned Model_macro,improvement,improvement_pct
accuracy,0.7449764540806519,0.7984045477261369,0.05342809364548495,7.171782860093022
precision,0.7591726015919564,0.7721079968037372,0.012935395211780776,1.7038806701737839
recall,0.7449764540806519,0.7984045477261369,0.05342809364548495,7.171782860093022
f1_score,0.7291559889522538,0.7723675608650784,0.04321157191282465,5.926245216049952
