fold,val_accuracy,val_loss,val_f1_score,val_precision,val_recall,epochs_completed
1,0.8636363744735718,0.5121209025382996,0.8520897118221831,0.8754899022919617,0.8444035594035594,22
2,0.8399999737739563,0.46942082047462463,0.8128172778752617,0.8588301155902412,0.8107142857142857,28
3,0.8399999737739563,0.5706366300582886,0.8277487258981508,0.8643493161427944,0.8237908496732027,17
4,0.8114285469055176,0.655879020690918,0.7680119089693497,0.8784298029556649,0.7600312650312651,23
5,0.6971428394317627,0.7740334868431091,0.666376621213203,0.7106974561386327,0.6839081289081289,19
