fold,val_accuracy,val_loss,val_f1_score,val_precision,val_recall,epochs_completed
1,0.8409090638160706,0.47973567247390747,0.8295756975559103,0.8540394790394791,0.8237662337662337,39
2,0.8914285898208618,0.2515711486339569,0.8733149374928428,0.8928103378103378,0.885639097744361,57
3,0.8914285898208618,0.29006409645080566,0.8805023385451822,0.8907487922705315,0.8784657152970519,61
4,0.868571400642395,0.38378122448921204,0.8672832344754371,0.8716335933550903,0.8662273877491268,77
5,0.800000011920929,0.49386125802993774,0.7980405693216991,0.8004283679283679,0.8013856996465692,54
