epoch,loss,accuracy,val_loss,val_accuracy
1,2.2657299041748047,0.167142853140831,2.167675256729126,0.2443181872367859
2,1.994767665863037,0.2542857229709625,1.7893685102462769,0.3238636255264282
3,1.7602177858352661,0.36142855882644653,1.6449494361877441,0.4204545319080353
4,1.6277828216552734,0.38428571820259094,1.4725582599639893,0.46590909361839294
5,1.5132020711898804,0.42571428418159485,1.3169865608215332,0.5170454382896423
6,1.325987696647644,0.4871428608894348,1.1634249687194824,0.5284090638160706
7,1.2049190998077393,0.5199999809265137,1.0821706056594849,0.5738636255264282
8,1.1669141054153442,0.5185714364051819,1.004309892654419,0.6079545617103577
9,1.0727745294570923,0.5771428346633911,0.94716477394104,0.5852272510528564
10,1.0146898031234741,0.6200000047683716,0.8683483600616455,0.625
11,0.953508198261261,0.6214285492897034,0.830646276473999,0.6534090638160706
12,0.8650774359703064,0.6528571248054504,0.7931656241416931,0.6988636255264282
13,0.7907100915908813,0.6728571653366089,0.7526069283485413,0.6931818127632141
14,0.7738296985626221,0.7099999785423279,0.691467821598053,0.6931818127632141
15,0.716198742389679,0.7242857217788696,0.6499357223510742,0.7556818127632141
16,0.6748991012573242,0.7328571677207947,0.6758347153663635,0.7102272510528564
17,0.6322514414787292,0.7657142877578735,0.5863640308380127,0.7556818127632141
18,0.6460908055305481,0.7614285945892334,0.6511634588241577,0.7443181872367859
19,0.5918487906455994,0.7857142686843872,0.5977584719657898,0.7840909361839294
20,0.527833878993988,0.7942857146263123,0.6040639281272888,0.7556818127632141
21,0.5302101969718933,0.8071428537368774,0.6310065984725952,0.7386363744735718
22,0.5837644338607788,0.7871428728103638,0.5432847738265991,0.7840909361839294
23,0.48318397998809814,0.8142856955528259,0.5563607811927795,0.7897727489471436
24,0.5312836170196533,0.800000011920929,0.6763930320739746,0.7329545617103577
25,0.49343249201774597,0.808571457862854,0.5812045931816101,0.8011363744735718
26,0.45709559321403503,0.8271428346633911,0.5491659641265869,0.8181818127632141
27,0.4386845529079437,0.8371428847312927,0.5617499947547913,0.8125
28,0.4447615146636963,0.8414285778999329,0.5213496088981628,0.8181818127632141
29,0.4496380090713501,0.8414285778999329,0.47973567247390747,0.8409090638160706
30,0.42687639594078064,0.8557142615318298,0.5102677941322327,0.8238636255264282
31,0.4162038266658783,0.8642857074737549,0.5084633231163025,0.8352272510528564
32,0.36577558517456055,0.8614285588264465,0.5602841973304749,0.8068181872367859
33,0.4288433790206909,0.8485714197158813,0.5216109752655029,0.8238636255264282
34,0.3907167315483093,0.8628571629524231,0.6016442775726318,0.7897727489471436
35,0.37425920367240906,0.8657143115997314,0.5367771983146667,0.8295454382896423
36,0.3737945258617401,0.8728571534156799,0.6219692826271057,0.7954545617103577
37,0.3802008628845215,0.8628571629524231,0.5688633322715759,0.8125
38,0.3544805347919464,0.8528571724891663,0.5024753212928772,0.8465909361839294
39,0.3609456717967987,0.8614285588264465,0.5959048271179199,0.8068181872367859
