fold,accuracy,loss,f1_score,precision,recall
1,0.9090909361839294,0.37493565678596497,0.8962593892285613,0.9056179537472444,0.8958994708994709
2,0.9314285516738892,0.1715642809867859,0.926749533407988,0.9288181263181263,0.9269047619047619
3,0.9314285516738892,0.20793572068214417,0.9252294228997308,0.9250488489390092,0.9264909253810856
4,0.9257143139839172,0.24349288642406464,0.9242600957818349,0.9327153539739352,0.9227954493171884
5,0.868571400642395,0.4988618791103363,0.8625806545071251,0.867599142493139,0.868097643097643
