Model,Mean_Acc,Std_Acc,Min_Acc,Max_Acc,Range,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Notes
MLP_Basic,0.913246750831604,0.023789718807115997,0.868571400642395,0.9314285516738892,0.06285715103149414,0.9070158191650479,0.02493473303653999,0.90803765012003,0.02305134906178049,highest mean
CNN_3_block,0.9075129985809326,0.028373849556752283,0.8514285683631897,0.9261363744735718,0.07470780611038208,0.8963593978337819,0.03191112432187421,0.8994404989326243,0.029053569428669386,2nd highest mean
CNN_Basic,0.9018051981925964,0.031016961031526232,0.8514285683631897,0.9314285516738892,0.07999998331069946,0.895086446392483,0.03619361015448238,0.8958161166368868,0.03656297500900365,
MLP_Dropout,0.8995389461517334,0.014752026693256096,0.8742856979370117,0.9200000166893004,0.04571431875228871,0.8923291572272243,0.01631793041328461,0.8935109468885212,0.016375556474770722,"lowest std, smallest range"
CNN_2D,0.8915714263916016,0.02000205510928944,0.868571400642395,0.9257143139839172,0.05714291334152222,0.879772791382449,0.021198657756973466,0.8775951026135438,0.02109697937092227,"2nd lowest std, 2nd smallest range"
CNN_Attention,0.8584675312042236,0.03464592771465587,0.800000011920929,0.8914285898208618,0.09142857789993286,0.8497433554782143,0.03127073518688363,0.8510968268406686,0.03283082665007039,
MLP_Attention,0.8127597332000732,0.05938866232753792,0.7371428608894348,0.9085714221000672,0.17142856121063244,0.7978810822308245,0.0716306568335059,0.7910136211709102,0.07763272710621469,"2nd lowest mean, highest std, biggest range"
MLP_Deep,0.810441541671753,0.0590163742737421,0.6971428394317627,0.8636363744735718,0.16649353504180908,0.7854088491556295,0.06551572237286196,0.7845696177460884,0.057509678073084596,"lowest mean, 2nd highest std, 2nd biggest range"
