filters1,kernel_size,pool_size,filters2,filters3,dense_units,dropout,lr,cv_score,cv_std,cv_prec,cv_recall
32,5,3,96,96,320,0.4,0.002208829598563794,0.9214285612106323,0.024872122045812017,0.9233284607549315,0.9157781385281385
16,5,3,64,32,64,0.1,0.0013812005903276895,0.9071428418159485,0.030199168493059612,0.9060416753009631,0.8924108946608946
32,5,2,128,96,320,0.6,0.0005380704122299075,0.9017857193946839,0.03340764886705032,0.9019087927036843,0.8896165223665223
64,3,3,64,64,448,0.2,0.0028298401894457986,0.8982142806053162,0.02369016667618724,0.9041465026201869,0.8852913589678296
32,3,2,128,96,320,0.5,0.0019473554687093966,0.8982142806053162,0.03771197973206011,0.9014703695035167,0.8872773533655887
64,5,2,64,32,64,0.30000000000000004,0.0007691606627828794,0.8964285492897034,0.025629823495603006,0.9003160352793884,0.8787442279942279
48,3,2,96,128,448,0.6,0.00044933528507057227,0.8946428656578064,0.04566683237329539,0.8951685928450633,0.88029329004329
16,3,2,32,96,192,0.2,0.000296314315141428,0.8946428537368775,0.03453407090078956,0.8908701430746457,0.8804538239538239
16,3,2,32,128,320,0.4,0.0006374631226478013,0.8928571462631225,0.03194383301000098,0.8894209042591396,0.8783124098124098
32,5,3,96,64,512,0.4,0.001407297559094673,0.8928571343421936,0.0270816929613431,0.896424571450147,0.8811928741193447
64,5,2,32,96,64,0.2,0.001278910704391419,0.8910714268684388,0.02355519876484926,0.8920583531274069,0.8800273533655887
64,3,2,64,64,384,0.30000000000000004,0.0003299839763081992,0.8892857193946838,0.02966651902404433,0.8896874483184215,0.877731898820134
16,5,3,64,96,128,0.6,0.005450896567054627,0.8875,0.028571421653034005,0.8826757532113569,0.8739851455733808
32,3,3,64,32,512,0.30000000000000004,0.0019139700709032877,0.8875,0.031237243754119536,0.8907725666744378,0.8762394745777099
16,3,2,128,96,320,0.5,0.005498981513304376,0.887499988079071,0.03508372422909392,0.8965436362518743,0.8705402767167474
32,3,2,64,64,256,0.6,0.0007788450525600194,0.8857142925262451,0.02067113673795053,0.8841398274927688,0.8712459044223749
64,3,2,64,64,512,0.30000000000000004,0.00014391621269688542,0.8857142925262451,0.03633389857146448,0.8945967913235714,0.8707860113742466
32,5,3,64,32,192,0.2,0.007533407699736988,0.8857142806053162,0.03804869974768726,0.8942943218370598,0.867008891435362
16,3,2,64,128,384,0.1,0.0010800922509442582,0.8857142806053162,0.042030720170200465,0.8933297968801064,0.8713791486291488
64,3,2,64,96,320,0.6,0.00010961053875998976,0.8839285731315613,0.03480996931950634,0.8836878462692839,0.8680609668109668
48,3,2,128,32,256,0.1,0.00010367464190947009,0.8839285731315613,0.034348902323485274,0.8805169150333372,0.8708758382140734
48,5,2,128,32,128,0.5,0.0001358523190329605,0.8839285731315613,0.02823462358139191,0.8861258429729288,0.8670360113742467
16,5,3,128,32,448,0.1,0.0001359986503983054,0.8821428656578064,0.02216012670762287,0.88126088943736,0.8658249724132077
16,5,3,96,96,128,0.2,0.001462861942805172,0.8821428656578064,0.006681531047825802,0.8827694400019748,0.8674288685171039
16,5,2,96,128,448,0.4,0.00031613913359087616,0.8821428418159485,0.04048493634597328,0.8823927684279346,0.8678887615652322
64,3,3,128,96,448,0.1,0.0001384744715837039,0.8732142925262452,0.029558837065086576,0.8643646827029181,0.8549552032934388
16,3,2,32,32,448,0.1,0.0006011330383467168,0.8696428656578064,0.03508372301557604,0.8631204249826541,0.8528856421356421
64,5,3,64,128,512,0.30000000000000004,0.00039167735312324375,0.8696428418159485,0.03642157279700013,0.8636312711196613,0.8500046260928613
16,3,3,32,96,384,0.5,0.00022068816355241233,0.8607142925262451,0.021576862454261145,0.8631769175695008,0.8401712927595281
32,3,3,32,128,64,0.1,0.001208306909422661,0.8607142806053162,0.03685672270431439,0.8594177714270593,0.8424468423733131
