,val_acc,val_prec,val_rec,test_acc,test_prec,test_rec
MLP_Basic,0.910447761,0.902124695,0.904087376,0.921700224,0.917106457,0.916641343
MLP_Deep,0.921108742,0.91684266,0.913234664,0.924683072,0.918419506,0.918583693
MLP_Dropout,0.877398721,0.864172854,0.863913944,0.878448919,0.871149244,0.864473229
MLP_Attention,0.881663113,0.871288059,0.872371118,0.901565996,0.892932957,0.892739866
CNN_Basic,0.924307036,0.916330959,0.913200758,0.92393736,0.920361199,0.91719994
CNN_Attention,0.9072494669509595,0.9015499050136337,0.9032587000657409,0.9105145413870246,0.9029456892748577,0.9047526913555279
CNN_2D,0.9040511727078892,0.8986058859175754,0.8989409750413563,0.9090231170768084,0.9026211327046163,0.9035452794326495
