,val_acc,val_prec,val_rec,test_acc,test_prec,test_rec
MLP_Basic,0.91,0.908,0.9,0.6,0.524,0.489
MLP_Deep,0.869,0.879,0.854,0.273,0.319,0.327
MLP_Dropout,0.896,0.894,0.883,0.707,0.698,0.609
MLP_Attention,0.92,0.916,0.911,0.532,0.495,0.479
CNN_Basic,0.937,0.934,0.925,0.669,0.52,0.559
CNN_Attention,0.932,0.931,0.923,0.613,0.6,0.501
CNN_2D,0.93,0.923,0.925,0.617,0.54,0.552
