num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,cv_score,cv_std,cv_prec,cv_recall,units_5,dropout_5
2,512,0.2,448,0.4,0.000318789400975165,128,0.1,448,0.4,0.9299999952316285,0.015252961881596734,0.9285402563761899,0.9267751556485571,,
2,320,0.6,256,0.2,0.0002450985664020139,128,0.2,64,0.30000000000000004,0.9199999928474426,0.023647050063456035,0.9247128157225882,0.9133968036084404,192.0,0.4
2,512,0.6,320,0.4,0.0005117284082973313,320,0.6,384,0.4,0.9157142758369445,0.026108095620976202,0.9181060776467966,0.910881059406635,192.0,0.30000000000000004
4,384,0.2,320,0.5,0.00013153043979913942,512,0.5,320,0.5,0.9157142758369445,0.017142861088126606,0.9169419829994269,0.9088525601281356,448.0,0.1
5,384,0.30000000000000004,128,0.2,0.00012093749375642885,128,0.1,384,0.5,0.9142857074737549,0.022587705650626143,0.9183187512686235,0.907318806442208,384.0,0.1
4,384,0.2,128,0.4,0.0009756660584259578,384,0.5,384,0.2,0.9128571510314941,0.03422612995908682,0.9140962789696806,0.9058963041079411,256.0,0.4
4,448,0.1,192,0.2,0.001610075186688361,64,0.1,64,0.1,0.9128571391105652,0.013093089542592626,0.914104264017442,0.9109957438838512,,
4,192,0.30000000000000004,320,0.1,0.0010979495638392155,384,0.5,192,0.1,0.908571434020996,0.01989769849252343,0.9135747854096218,0.903794509767016,512.0,0.1
4,64,0.30000000000000004,448,0.5,0.0005582095371314753,448,0.1,384,0.1,0.9085714221000671,0.017142867048584174,0.9133654438911473,0.9042727706365813,64.0,0.1
2,512,0.2,448,0.6,0.0009302852433676885,64,0.30000000000000004,256,0.5,0.9071428656578064,0.020701963489788814,0.907071818583893,0.9004747256863626,128.0,0.1
4,256,0.2,192,0.5,0.0012144129111731064,256,0.1,192,0.1,0.9057142853736877,0.026878412280834558,0.9105238222173273,0.8975281182301643,128.0,0.1
2,256,0.5,128,0.6,0.000188989444422551,64,0.6,320,0.2,0.9057142734527588,0.013850511208456866,0.9103200420016412,0.8990874086129841,320.0,0.2
2,448,0.1,128,0.5,0.006453593661113218,128,0.4,512,0.6,0.9014285683631897,0.02531435509167948,0.9122477780890084,0.8948949256909614,192.0,0.2
4,128,0.5,256,0.1,0.0019361428090391482,320,0.4,448,0.30000000000000004,0.9014285683631897,0.02185293908036126,0.9053051789448343,0.8917249476865845,448.0,0.1
2,64,0.5,192,0.6,0.0002816262180450481,256,0.4,64,0.30000000000000004,0.8971428632736206,0.026572967848017846,0.9052459021027133,0.8880316491550507,,
3,64,0.30000000000000004,256,0.6,0.0018831823211638247,512,0.30000000000000004,128,0.6,0.8957142949104309,0.02982944367761594,0.9022032799850475,0.8857378885678118,256.0,0.1
5,128,0.30000000000000004,320,0.2,0.001958975633214816,192,0.6,384,0.4,0.8928571462631225,0.015649225878225596,0.8949888250290863,0.8851801033578528,64.0,0.1
3,448,0.5,256,0.2,0.0015228263940738605,192,0.5,256,0.5,0.8899999856948853,0.029829450528527767,0.8966742496810609,0.8787798454032469,192.0,0.1
4,512,0.2,448,0.30000000000000004,0.004121607134912071,192,0.30000000000000004,128,0.4,0.8842857241630554,0.031102208690793838,0.8934897078166497,0.870014863652971,384.0,0.1
5,448,0.6,320,0.4,0.0006940404824300579,128,0.2,320,0.6,0.8828571438789368,0.012453988034692855,0.890031092389162,0.8714907109088695,64.0,0.6
2,384,0.6,64,0.4,0.003152622017302118,448,0.4,192,0.6,0.8799999952316284,0.035970511343137015,0.8822326822942991,0.8726811690015015,64.0,0.30000000000000004
4,64,0.30000000000000004,512,0.4,0.001441799287064647,64,0.6,384,0.1,0.877142858505249,0.02490798700876235,0.8731942240242819,0.8681836486900426,192.0,0.1
4,320,0.5,320,0.30000000000000004,0.002130209316625156,192,0.5,512,0.4,0.8742857098579406,0.021476136006835136,0.8840727984433867,0.8667988553787787,320.0,0.30000000000000004
2,256,0.30000000000000004,256,0.5,0.00659223477391534,384,0.2,128,0.4,0.8714285731315613,0.014285707473764831,0.8823196395160455,0.8601773295616006,256.0,0.1
5,256,0.5,512,0.1,0.0022466970035351194,64,0.1,448,0.30000000000000004,0.8585714340209961,0.03422613991048654,0.8651376645146331,0.8413457187881741,384.0,0.5
4,128,0.4,384,0.5,0.002475356923928745,256,0.2,384,0.2,0.8585714221000671,0.017728111356500723,0.8730158476370551,0.8446123944966656,128.0,0.4
5,384,0.4,64,0.4,0.0025825696385380877,384,0.1,512,0.6,0.8571428656578064,0.02595128556202753,0.8610168423931851,0.8432627628126349,192.0,0.5
3,512,0.30000000000000004,256,0.5,0.006324708735863358,320,0.2,448,0.2,0.8571428537368775,0.046729786577998214,0.8690008219347296,0.8407997907179494,320.0,0.2
3,192,0.5,192,0.5,0.006852447990260704,384,0.2,320,0.6,0.7628571510314941,0.044812527078231384,0.7731991279988575,0.7360254379749265,,
5,384,0.30000000000000004,384,0.6,0.009940617254525469,384,0.30000000000000004,128,0.2,0.46857142448425293,0.06334228565459238,0.350229046647058,0.40531211960815544,448.0,0.6
