fold,accuracy,loss,f1_score,precision,recall,train_groups,val_groups
1,0.7625899314880371,0.7254274487495422,0.7081803254217046,0.7252828282828283,0.7252136752136752,1-2-3-5,4
2,0.7439024448394775,0.6751173138618469,0.7258798341470977,0.7768181818181819,0.7418650793650794,1-3-4-5,2
3,0.7654321193695068,0.6155715584754944,0.7036954349997827,0.7179166666666666,0.7035164835164835,1-2-3-4,5
4,0.8260869383811951,0.4676518738269806,0.7940196078431372,0.8324999999999999,0.8178571428571428,2-3-4-5,1
5,0.5853658318519592,1.2614210844039917,0.5789743589743589,0.6072222222222222,0.694047619047619,1-2-4-5,3
