,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
MLP_Basic,0.825,0.843,0.859,0.851,0.844,0.837,0.834,0.835
MLP_Deep,0.857,0.877,0.885,0.881,0.733,0.722,0.705,0.714
MLP_Dropout,0.873,0.882,0.902,0.892,0.811,0.811,0.791,0.801
MLP_Attention,0.857,0.878,0.883,0.881,0.778,0.743,0.759,0.751
CNN_Basic,0.857,0.845,0.876,0.86,0.844,0.845,0.834,0.839
CNN_Attention,0.825,0.848,0.857,0.852,0.756,0.779,0.758,0.768
CNN_2D,0.81,0.823,0.841,0.832,0.733,0.729,0.732,0.731
CNN_3_block,0.825,0.858,0.841,0.849,0.756,0.764,0.727,0.745
