fold,val_accuracy,val_loss,val_f1_score,val_precision,val_recall,epochs_completed
1,0.8352272510528564,0.6604220271110535,0.8341785953408751,0.8523392358415578,0.8304990379990379,58
2,0.9085714221000671,0.28893882036209106,0.9040645421138607,0.9081568061568062,0.9029271708683474,102
3,0.7657142877578735,0.6663934588432312,0.7350837014305984,0.8176054664289959,0.7153548024392014,39
4,0.7371428608894348,0.8483515977859497,0.7035229128436887,0.7569985569985571,0.6920783403392099,24
5,0.8171428442001343,0.4627940058708191,0.8125556594251,0.8188823342942337,0.8142087542087543,66
