epoch,loss,accuracy,val_loss,val_accuracy
1,2.0360424518585205,0.24393723905086517,1.682599425315857,0.3257142901420593
2,1.6878193616867065,0.36519259214401245,1.4875940084457397,0.38857144117355347
3,1.4604618549346924,0.47788873314857483,1.2622848749160767,0.49714285135269165
4,1.3608840703964233,0.48930099606513977,1.1594593524932861,0.5771428346633911
5,1.2692320346832275,0.5106989741325378,1.0652568340301514,0.5885714292526245
6,1.1751278638839722,0.5534949898719788,0.9789819121360779,0.6399999856948853
7,1.108688235282898,0.5791726112365723,0.9165782928466797,0.6514285802841187
8,1.0132986307144165,0.6219686269760132,0.8582087755203247,0.691428542137146
9,0.9644448161125183,0.6233951449394226,0.8185595870018005,0.6857143044471741
10,0.9141491055488586,0.6633380651473999,0.7923325896263123,0.668571412563324
11,0.8651217222213745,0.6776034235954285,0.7560110092163086,0.691428542137146
12,0.810284435749054,0.6904422044754028,0.7476222515106201,0.691428542137146
13,0.7987803220748901,0.6733238101005554,0.7503816485404968,0.6971428394317627
14,0.7982574701309204,0.6990014314651489,0.7470856308937073,0.6971428394317627
15,0.7632156610488892,0.7132667899131775,0.7098526954650879,0.7257142663002014
16,0.7810527682304382,0.6975749135017395,0.7084411382675171,0.7028571367263794
17,0.7493229508399963,0.7203994393348694,0.7117739319801331,0.7142857313156128
18,0.7472252249717712,0.7175463438034058,0.7300420999526978,0.7142857313156128
19,0.7499386072158813,0.7218259572982788,0.7217725515365601,0.7542856931686401
20,0.7338740825653076,0.7261055707931519,0.7274272441864014,0.7371428608894348
21,0.7125093936920166,0.7132667899131775,0.702653706073761,0.7485714554786682
22,0.718781054019928,0.7403708696365356,0.683253288269043,0.7599999904632568
23,0.6770144701004028,0.7389443516731262,0.7082988619804382,0.7200000286102295
24,0.7140213251113892,0.7275320887565613,0.6894434690475464,0.7314285635948181
25,0.6753492951393127,0.7574893236160278,0.729206919670105,0.7200000286102295
26,0.717755913734436,0.7289586067199707,0.7040734887123108,0.7085714340209961
27,0.6612182259559631,0.7360913157463074,0.6828826665878296,0.7657142877578735
28,0.6772177815437317,0.7375178337097168,0.7013981938362122,0.7200000286102295
29,0.6490581035614014,0.7417974472045898,0.6663934588432312,0.7657142877578735
30,0.6563551425933838,0.7574893236160278,0.7058679461479187,0.7485714554786682
31,0.621739387512207,0.7603423595428467,0.6975641250610352,0.7599999904632568
32,0.6292906403541565,0.7603423595428467,0.7119558453559875,0.7371428608894348
33,0.6088866591453552,0.7574893236160278,0.7100662589073181,0.7485714554786682
34,0.604759156703949,0.7703281044960022,0.7400895357131958,0.7371428608894348
35,0.5799792408943176,0.7788873314857483,0.7233628034591675,0.7599999904632568
36,0.573837161064148,0.7603423595428467,0.6706995368003845,0.7657142877578735
37,0.5973412990570068,0.7674750089645386,0.7155246138572693,0.7771428823471069
38,0.5646778345108032,0.7746077179908752,0.6967227458953857,0.7599999904632568
39,0.5676906108856201,0.773181140422821,0.6983781456947327,0.7542856931686401
