num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,units_5,dropout_5,cv_score,cv_std,cv_prec,cv_recall
2,192,0.1,256,0.1,0.0007373196097809678,512,0.5,192,0.4,384.0,0.5,0.9250755906105042,0.007298683682151857,0.9255610201108923,0.9197842190489249
2,128,0.4,448,0.1,0.00036994933557000365,512,0.5,448,0.5,256.0,0.5,0.9221978902816772,0.011460449669120543,0.922802616200449,0.9179679797326855
2,192,0.30000000000000004,320,0.30000000000000004,0.0008428991425794564,128,0.6,512,0.1,448.0,0.6,0.9221874833106994,0.011527400783650065,0.9234047497947081,0.9153648051295111
4,320,0.2,320,0.1,0.0001279950305362832,320,0.6,64,0.6,384.0,0.5,0.9121259570121765,0.012245178245483808,0.9119447968350579,0.9052107647254706
2,448,0.6,192,0.5,0.0009695341527109563,320,0.1,256,0.1,256.0,0.1,0.9121155261993408,0.013880905506212642,0.9142213971995907,0.9065866666013725
4,320,0.30000000000000004,128,0.6,0.0002775499260261762,64,0.5,256,0.1,384.0,0.6,0.9106871008872985,0.025507911772960922,0.9085908977540758,0.8964411454558514
2,128,0.5,448,0.6,0.000530442949446363,448,0.1,192,0.30000000000000004,128.0,0.1,0.9106662392616272,0.014791644767447909,0.9084901027764805,0.9034777199924259
3,384,0.2,128,0.4,0.0012272317028993447,384,0.30000000000000004,256,0.30000000000000004,,,0.9092378258705139,0.011578058221073405,0.90781284865805,0.8995806611688966
3,64,0.2,448,0.1,0.0016288864664974797,256,0.30000000000000004,64,0.30000000000000004,,,0.9063809752464295,0.031107380106998758,0.8989273668368096,0.8961831779331779
3,192,0.4,512,0.4,0.001344121154884341,192,0.1,256,0.6,,,0.8991450190544128,0.01196007371945868,0.897929870181418,0.8873702800467506
2,128,0.4,128,0.1,0.00474609855825893,256,0.2,256,0.4,192.0,0.2,0.8991241812705993,0.01583611889381311,0.9030674662835857,0.8889528282175341
2,192,0.5,256,0.30000000000000004,0.00014214227889366806,512,0.30000000000000004,320,0.5,64.0,0.6,0.897664487361908,0.014208208184065188,0.8958069568367051,0.8888867358132064
4,128,0.2,128,0.1,0.0016978941148534812,512,0.1,64,0.1,256.0,0.1,0.8962881922721863,0.023348192217995608,0.9011104446285829,0.884005561432032
4,384,0.6,256,0.5,0.00021334004694169303,320,0.5,192,0.6,512.0,0.1,0.8933792114257812,0.022896665182572818,0.8992255950268602,0.8798615583762641
5,128,0.6,448,0.6,0.0002645346700464381,320,0.4,128,0.4,320.0,0.4,0.8919507980346679,0.008887309756224822,0.8930948982218332,0.8795025285172343
3,512,0.2,192,0.5,0.00281871658181403,512,0.6,128,0.2,,,0.8890418171882629,0.003738065569210396,0.8886630479121393,0.8714293043557749
5,192,0.6,64,0.30000000000000004,0.00041180555949411874,128,0.5,64,0.1,128.0,0.4,0.8862162351608276,0.026145880703198274,0.8898612097172804,0.8727823957088663
4,384,0.6,448,0.4,0.0008170013503065374,320,0.6,320,0.30000000000000004,128.0,0.30000000000000004,0.8847461223602295,0.01495380564608747,0.8836521126657552,0.8718690704720116
2,256,0.1,384,0.30000000000000004,0.008376505741286256,320,0.2,256,0.2,64.0,0.30000000000000004,0.8832759976387023,0.029313210426458923,0.885501786844047,0.8803057057321763
4,448,0.5,384,0.4,0.0011755140323423952,128,0.2,448,0.1,64.0,0.30000000000000004,0.8789698600769043,0.012304155038001098,0.8832970818199316,0.8627085806350513
4,128,0.2,448,0.2,0.0018602985474974727,512,0.6,384,0.2,64.0,0.4,0.8703263401985168,0.018695561358019305,0.8706212673463447,0.8556474946622006
5,64,0.2,192,0.4,0.0031487924958808525,128,0.30000000000000004,448,0.4,64.0,0.1,0.8659993648529053,0.025140176302074713,0.8691599926561228,0.849970921235627
2,320,0.6,64,0.30000000000000004,0.007543309296844701,256,0.1,128,0.6,128.0,0.30000000000000004,0.844447934627533,0.04408784169012956,0.8559733593009943,0.8315072182719241
2,320,0.5,320,0.1,0.007136140594736352,64,0.5,320,0.1,320.0,0.1,0.8415180921554566,0.014896454855346158,0.8550915121544076,0.8229852549411373
4,128,0.2,384,0.5,0.008327876354957027,64,0.1,64,0.1,,,0.8372223973274231,0.034654097463933276,0.8397895827942268,0.8150281222045928
2,64,0.5,256,0.2,0.007163902356609689,64,0.4,64,0.2,192.0,0.30000000000000004,0.8256594657897949,0.023294735065093657,0.8370906845655803,0.8050258140552258
4,512,0.4,320,0.30000000000000004,0.006291832312051203,448,0.1,512,0.4,64.0,0.5,0.8212491035461426,0.037268987332482593,0.8312882330663459,0.7927035497182556
5,64,0.6,128,0.6,0.0006556714635053793,192,0.5,448,0.30000000000000004,320.0,0.5,0.8023668050765991,0.0791131303508536,0.8189940310194584,0.7907056734115558
2,128,0.4,192,0.6,0.009943803078013987,320,0.30000000000000004,256,0.1,,,0.7824418783187866,0.025726880463237428,0.7961488439806854,0.7493246590011295
3,384,0.5,256,0.4,0.00844891068431229,256,0.5,256,0.1,,,0.7219580888748169,0.04556489578370934,0.7016434471465068,0.6774591927680164
