trial,hyperparameters,cv_mean,cv_std,fold_scores
20,"{'learning_rate': 0.0037218580310259255, 'filters1': 64, 'filters2': 128, 'filters3': 64, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.4262963979871728, 'dense_units': 256}",0.8842857122421265,0.011428567767149077,"[0.8999999761581421, 0.8642857074737549, 0.8857142925262451, 0.8857142925262451, 0.8857142925262451]"
21,"{'learning_rate': 0.003553720138458253, 'filters1': 64, 'filters2': 128, 'filters3': 64, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.24959040807223304, 'dense_units': 64}",0.9142857074737549,0.024327698608586208,"[0.9071428775787354, 0.8714285492897034, 0.9428571462631226, 0.9214285612106323, 0.9285714030265808]"
22,"{'learning_rate': 0.00994100218694359, 'filters1': 64, 'filters2': 32, 'filters3': 32, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.11043212704943338, 'dense_units': 128}",0.8800000071525573,0.01937808451105745,"[0.8714285492897034, 0.8785714507102966, 0.9071428775787354, 0.8928571343421936, 0.8500000238418579]"
23,"{'learning_rate': 0.006319993040684443, 'filters1': 16, 'filters2': 32, 'filters3': 64, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.49107280942517595, 'dense_units': 256}",0.8885714292526246,0.02657295887579707,"[0.8571428656578064, 0.8857142925262451, 0.9071428775787354, 0.9285714030265808, 0.8642857074737549]"
24,"{'learning_rate': 0.0032435155449999364, 'filters1': 32, 'filters2': 64, 'filters3': 128, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.6553217235007887, 'dense_units': 512}",0.9114285588264466,0.011605767724052723,"[0.8999999761581421, 0.8999999761581421, 0.9285714030265808, 0.9214285612106323, 0.9071428775787354]"
25,"{'learning_rate': 0.0008002493792168967, 'filters1': 64, 'filters2': 128, 'filters3': 32, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.2710898608057132, 'dense_units': 256}",0.9057142853736877,0.015252961881596734,"[0.9142857193946838, 0.8857142925262451, 0.9071428775787354, 0.9285714030265808, 0.8928571343421936]"
26,"{'learning_rate': 0.007582692632342125, 'filters1': 16, 'filters2': 128, 'filters3': 32, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.5937294604693191, 'dense_units': 512}",0.8899999976158142,0.018405848212745754,"[0.8714285492897034, 0.8999999761581421, 0.8785714507102966, 0.8785714507102966, 0.9214285612106323]"
27,"{'learning_rate': 0.005581040081911211, 'filters1': 16, 'filters2': 64, 'filters3': 128, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.3176849751652181, 'dense_units': 256}",0.9000000119209289,0.014982979810694028,"[0.9071428775787354, 0.8785714507102966, 0.9142857193946838, 0.9142857193946838, 0.8857142925262451]"
28,"{'learning_rate': 0.003882066576591446, 'filters1': 16, 'filters2': 128, 'filters3': 64, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.6189930055832379, 'dense_units': 64}",0.8971428632736206,0.02285712286829967,"[0.8785714507102966, 0.8785714507102966, 0.9285714030265808, 0.9214285612106323, 0.8785714507102966]"
29,"{'learning_rate': 0.006638235848932978, 'filters1': 16, 'filters2': 64, 'filters3': 32, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.26591825762613447, 'dense_units': 128}",0.9042857170104981,0.025793530126911067,"[0.9071428775787354, 0.8785714507102966, 0.9285714030265808, 0.9357143044471741, 0.8714285492897034]"
30,"{'learning_rate': 0.008273666219578533, 'filters1': 32, 'filters2': 64, 'filters3': 128, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.3384954460181635, 'dense_units': 512}",0.8857142925262451,0.0169030840870732,"[0.8785714507102966, 0.8785714507102966, 0.8928571343421936, 0.9142857193946838, 0.8642857074737549]"
31,"{'learning_rate': 0.00596138558798458, 'filters1': 32, 'filters2': 128, 'filters3': 128, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.2933369289514749, 'dense_units': 512}",0.8857142925262451,0.018626289190348186,"[0.8785714507102966, 0.8571428656578064, 0.8857142925262451, 0.8928571343421936, 0.9142857193946838]"
32,"{'learning_rate': 0.0027730025267760465, 'filters1': 32, 'filters2': 64, 'filters3': 32, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.6636895990153873, 'dense_units': 128}",0.9142857193946838,0.02118914530867929,"[0.8928571343421936, 0.8928571343421936, 0.9357143044471741, 0.9428571462631226, 0.9071428775787354]"
33,"{'learning_rate': 0.0069124717332089145, 'filters1': 32, 'filters2': 32, 'filters3': 128, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.4271345496701189, 'dense_units': 256}",0.899999988079071,0.019691499205657735,"[0.8857142925262451, 0.8999999761581421, 0.9214285612106323, 0.9214285612106323, 0.8714285492897034]"
34,"{'learning_rate': 0.00668183622602517, 'filters1': 16, 'filters2': 128, 'filters3': 128, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.41862851248013644, 'dense_units': 64}",0.8971428513526917,0.026572976179369483,"[0.8714285492897034, 0.8642857074737549, 0.9357143044471741, 0.9142857193946838, 0.8999999761581421]"
35,"{'learning_rate': 0.000580606396286834, 'filters1': 32, 'filters2': 64, 'filters3': 64, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.3282810440523666, 'dense_units': 128}",0.8799999952316284,0.028356330610811997,"[0.8571428656578064, 0.8428571224212646, 0.8785714507102966, 0.9214285612106323, 0.8999999761581421]"
36,"{'learning_rate': 0.008266884001685841, 'filters1': 16, 'filters2': 32, 'filters3': 128, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.5250981179659793, 'dense_units': 512}",0.8899999976158142,0.019483127348844314,"[0.9071428775787354, 0.8928571343421936, 0.8714285492897034, 0.9142857193946838, 0.8642857074737549]"
37,"{'learning_rate': 0.00970708178001454, 'filters1': 32, 'filters2': 128, 'filters3': 64, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.36345924621054115, 'dense_units': 512}",0.8799999952316284,0.015252960765101282,"[0.8928571343421936, 0.8785714507102966, 0.8571428656578064, 0.8999999761581421, 0.8714285492897034]"
38,"{'learning_rate': 0.005750294234168521, 'filters1': 64, 'filters2': 64, 'filters3': 64, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.6263679239895932, 'dense_units': 128}",0.8942857027053833,0.005345213368640289,"[0.8999999761581421, 0.8857142925262451, 0.8928571343421936, 0.8999999761581421, 0.8928571343421936]"
39,"{'learning_rate': 0.001983853618106136, 'filters1': 16, 'filters2': 128, 'filters3': 64, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.41721454172163086, 'dense_units': 256}",0.9099999904632569,0.010690449039313137,"[0.8999999761581421, 0.9142857193946838, 0.9071428775787354, 0.9285714030265808, 0.8999999761581421]"
40,"{'learning_rate': 0.0028133279952053717, 'filters1': 64, 'filters2': 128, 'filters3': 128, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.18863301572720298, 'dense_units': 128}",0.9099999904632569,0.009689046649649606,"[0.8999999761581421, 0.8999999761581421, 0.9214285612106323, 0.9071428775787354, 0.9214285612106323]"
41,"{'learning_rate': 0.007437916314884537, 'filters1': 64, 'filters2': 128, 'filters3': 128, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.5485589717824435, 'dense_units': 256}",0.895714282989502,0.014708055497311223,"[0.9142857193946838, 0.8928571343421936, 0.8714285492897034, 0.9071428775787354, 0.8928571343421936]"
42,"{'learning_rate': 0.0055462327402429285, 'filters1': 16, 'filters2': 32, 'filters3': 64, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.5019953548975045, 'dense_units': 256}",0.8842857122421265,0.010497805257606675,"[0.8999999761581421, 0.8714285492897034, 0.8785714507102966, 0.8785714507102966, 0.8928571343421936]"
43,"{'learning_rate': 0.0018715267046619426, 'filters1': 16, 'filters2': 128, 'filters3': 128, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.46125415079747434, 'dense_units': 256}",0.9028571367263794,0.029485377123828295,"[0.8999999761581421, 0.8785714507102966, 0.9428571462631226, 0.9285714030265808, 0.8642857074737549]"
44,"{'learning_rate': 0.004288839660891508, 'filters1': 32, 'filters2': 64, 'filters3': 32, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.267811504567068, 'dense_units': 512}",0.9,0.027479119999571852,"[0.9214285612106323, 0.8857142925262451, 0.9428571462631226, 0.8785714507102966, 0.8714285492897034]"
45,"{'learning_rate': 0.005115774576283327, 'filters1': 64, 'filters2': 64, 'filters3': 64, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.4450302640222663, 'dense_units': 128}",0.8942857146263122,0.01385052596306051,"[0.8857142925262451, 0.8714285492897034, 0.8999999761581421, 0.9071428775787354, 0.9071428775787354]"
46,"{'learning_rate': 0.0024520608177362375, 'filters1': 32, 'filters2': 64, 'filters3': 128, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.2414952518450198, 'dense_units': 128}",0.9014285683631897,0.013093068731723233,"[0.8999999761581421, 0.8785714507102966, 0.9142857193946838, 0.9142857193946838, 0.8999999761581421]"
47,"{'learning_rate': 0.0011958933255686352, 'filters1': 32, 'filters2': 128, 'filters3': 128, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.1462326809475035, 'dense_units': 128}",0.9028571367263794,0.01069045222530829,"[0.9071428775787354, 0.8928571343421936, 0.8999999761581421, 0.9214285612106323, 0.8928571343421936]"
48,"{'learning_rate': 0.0027885743292548676, 'filters1': 32, 'filters2': 128, 'filters3': 128, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.5013619103866098, 'dense_units': 256}",0.9085714101791382,0.013850512438004349,"[0.8999999761581421, 0.8928571343421936, 0.9285714030265808, 0.9214285612106323, 0.8999999761581421]"
49,"{'learning_rate': 0.008143524154167432, 'filters1': 64, 'filters2': 64, 'filters3': 64, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.17681873933855685, 'dense_units': 128}",0.8899999976158142,0.023299281451520003,"[0.8999999761581421, 0.8857142925262451, 0.8928571343421936, 0.9214285612106323, 0.8500000238418579]"
50,"{'learning_rate': 0.0042738501565209456, 'filters1': 32, 'filters2': 128, 'filters3': 32, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.2866652706147997, 'dense_units': 64}",0.8857142806053162,0.010101520628753488,"[0.8857142925262451, 0.8785714507102966, 0.8928571343421936, 0.8999999761581421, 0.8714285492897034]"
