,val_acc,val_prec,val_rec,test_acc,test_prec,test_rec
MLP_Basic,0.953,0.948,0.951,0.743,0.599,0.663
MLP_Deep,0.93,0.926,0.924,0.385,0.53,0.522
MLP_Dropout,0.914,0.911,0.902,0.57,0.637,0.536
MLP_Attention,0.928,0.926,0.922,0.34,0.461,0.426
CNN_Basic,0.937,0.931,0.934,0.689,0.57,0.616
CNN_Attention,0.942,0.937,0.937,0.378,0.598,0.524
CNN_2D,0.943,0.939,0.941,0.295,0.364,0.414
CNN_3_block,0.924,0.92,0.922,0.353,0.557,0.452
