units1,dropout1,units2,dropout2,lr,cv_score,cv_std,cv_prec,cv_recall
320,0.1,64,0.2,0.0018485175963223299,0.9107142925262451,0.017857134342197583,0.9125963236110295,0.8960216450216449
448,0.2,64,0.6,0.0010845987412086886,0.9107142925262451,0.02328287291660486,0.9115982094101289,0.8999448051948052
128,0.30000000000000004,64,0.2,0.0024586018771481917,0.9107142806053161,0.022587705650626143,0.90668099590468,0.89897113997114
192,0.30000000000000004,192,0.6,0.0009507241678856559,0.9089285731315613,0.032635132571899685,0.9089852779397806,0.8978751803751803
128,0.30000000000000004,256,0.4,0.0003225239165077045,0.9089285731315613,0.025505105226743686,0.91177157469219,0.8937377344877344
128,0.1,256,0.4,0.0008307655913624025,0.9089285612106324,0.022160138235013248,0.9115640161352235,0.898800505050505
192,0.30000000000000004,128,0.2,0.0008060771879266742,0.9071428537368774,0.018385047372245857,0.9064767239124822,0.8951630591630592
512,0.2,128,0.1,0.006887291548601745,0.9071428537368774,0.04811498157786121,0.9076440162602836,0.8930544733044732
320,0.2,192,0.4,0.0009917217587904097,0.9071428537368774,0.03224190671647606,0.9092264145383341,0.8931114718614719
448,0.4,64,0.30000000000000004,0.002892308450535408,0.9053571343421936,0.03976975003677972,0.9102965272340018,0.8926782106782107
448,0.2,192,0.30000000000000004,0.0002448180904832579,0.9035714268684387,0.024872122045812017,0.9032821676087931,0.8870797258297257
384,0.4,128,0.2,0.0005244246833616278,0.9035714268684387,0.015361293338007974,0.9040903410315175,0.89004329004329
512,0.4,64,0.30000000000000004,0.0005152605135134392,0.9017857193946839,0.009780744409354964,0.9048639279873294,0.8863751803751805
256,0.4,64,0.5,0.00195710857349945,0.9,0.02901442811429238,0.8983604500934224,0.8855140692640692
384,0.6,192,0.5,0.00023686604376166459,0.899999988079071,0.027316174629744484,0.9044567345279418,0.8843084415584415
512,0.4,192,0.4,0.0013062198983511083,0.899999988079071,0.032635116917079925,0.9083678102942809,0.8880266955266954
512,0.4,128,0.5,0.0001831692097718212,0.899999988079071,0.01906621882032502,0.902846712970552,0.8842615440115441
256,0.4,128,0.30000000000000004,0.00019304990364239636,0.8982142806053162,0.02684517992064147,0.8984381224808604,0.88397113997114
192,0.1,64,0.5,0.002717326166807044,0.8946428656578064,0.028459597247443267,0.8945590386565618,0.8780847763347763
384,0.5,128,0.6,0.0008534153034525913,0.8928571343421936,0.025877458475342206,0.8890364142221727,0.87579329004329
512,0.30000000000000004,64,0.4,0.0023405041494342412,0.8928571224212647,0.044103882861086144,0.900030557909209,0.8764004329004329
448,0.6,64,0.5,0.0016234807421441969,0.8910714268684388,0.024872125469307123,0.897577985541776,0.8762554112554113
384,0.2,64,0.1,0.00011458260633623776,0.8892857074737549,0.020824818265824177,0.8895384469929496,0.8734473304473305
320,0.5,192,0.4,0.0030288266072958027,0.8803571462631226,0.028571423143149734,0.8818166238421993,0.860360028860029
512,0.5,192,0.2,0.0017754968622425338,0.8785714268684387,0.03174354976600923,0.8816891592351951,0.8625230880230881
128,0.2,64,0.5,0.00021418954727758026,0.8750000119209289,0.011293862249641979,0.8806422277151513,0.85597113997114
384,0.4,256,0.1,0.009173742748112652,0.8750000119209289,0.03480998460777522,0.8819702157745637,0.8595789406671759
256,0.1,256,0.6,0.008386700054442859,0.862500011920929,0.018385063582326062,0.8646429985899295,0.8425357142857143
128,0.4,192,0.5,0.0001128891018354776,0.8535714268684387,0.014507201584549666,0.8632799455446515,0.8328474025974026
192,0.4,192,0.4,0.008732453502912857,0.8446428656578064,0.02300732576375273,0.8668907459406181,0.8178401875901875
